work_order_id,opened_at,closed_at,property_area,system_type,issue_type,maintenance_type,priority,shift,technician_id,asset_age_years,guest_impact,room_out_of_order,response_minutes,repair_minutes,downtime_hours,labor_hours,parts_cost,labor_cost,total_cost,sla_target_minutes,sla_met,repeat_within_30_days,guest_satisfaction
WO-00592,2025-01-13 15:14:00,2025-01-13 17:41:00,Kitchen,HVAC,Room not cooling,Preventive,Medium,Evening,ENG-07,5,False,False,66,81,2.45,1.35,28.3,51.98,80.28,120,True,False,
WO-01170,2025-01-13 17:39:00,2025-01-13 20:16:00,Lobby,HVAC,Condensate leak,Corrective,Medium,Evening,ENG-06,6,False,False,83,74,2.62,1.23,187.75,47.35,235.1,120,True,False,
WO-00125,2025-01-13 18:14:00,2025-01-13 21:48:00,Guest Room,General Maintenance,Preventive inspection,Corrective,Low,Evening,ENG-05,3,False,False,190,24,3.57,0.4,10.24,15.4,25.64,240,True,False,
WO-00866,2025-01-14 08:03:00,2025-01-14 10:44:00,Meeting Space,Life Safety,Alarm device fault,Preventive,Low,Day,ENG-03,7,False,False,73,88,2.68,1.47,192.32,56.59,248.91,240,True,False,
WO-00170,2025-01-14 08:54:00,2025-01-14 10:21:00,Guest Room,Electrical,Lighting outage,Corrective,High,Day,ENG-04,9,False,False,14,73,1.45,1.22,73.57,46.97,120.54,30,True,False,
WO-00614,2025-01-14 09:51:00,2025-01-14 12:45:00,Laundry,Plumbing,Low water pressure,Corrective,Medium,Day,ENG-04,2,False,False,77,97,2.9,1.62,35.18,62.37,97.55,120,True,False,
WO-01162,2025-01-14 11:45:00,2025-01-14 15:01:00,Guest Room,Life Safety,Exit sign failure,Corrective,Medium,Day,ENG-02,3,False,False,76,120,3.27,2.0,173.75,77.0,250.75,120,True,False,
WO-00719,2025-01-14 15:33:00,2025-01-14 17:54:00,Guest Room,HVAC,Fan motor failure,Corrective,High,Evening,ENG-05,9,True,True,28,113,2.35,1.88,129.92,72.38,202.3,30,True,False,5.0
WO-00196,2025-01-14 17:26:00,2025-01-14 22:02:00,Kitchen,Refrigeration,Ice buildup,Preventive,Low,Evening,ENG-06,8,False,False,163,113,4.6,1.88,220.8,72.38,293.18,240,True,False,
WO-00480,2025-01-15 11:05:00,2025-01-15 15:42:00,Guest Room,HVAC,Fan motor failure,Corrective,Medium,Day,ENG-02,4,False,False,86,191,4.62,3.18,80.61,122.43,203.04,120,True,False,
WO-01034,2025-01-15 13:55:00,2025-01-15 17:11:00,Kitchen,Refrigeration,Ice buildup,Corrective,Medium,Day,ENG-02,1,True,False,73,123,3.27,2.05,264.0,78.92,342.92,120,True,False,4.5
WO-00050,2025-01-16 04:40:00,2025-01-16 09:06:00,Guest Room,Plumbing,Fixture leak,Corrective,Low,Overnight,ENG-08,9,True,False,176,90,4.43,1.5,135.09,57.75,192.84,240,True,False,4.6
WO-00654,2025-01-16 06:09:00,2025-01-16 07:57:00,Exterior,Electrical,Preventive inspection,Preventive,Medium,Overnight,ENG-08,3,False,False,62,46,1.8,0.77,12.17,29.64,41.81,120,True,False,
WO-00873,2025-01-16 07:07:00,2025-01-16 09:30:00,Guest Room,Plumbing,Preventive inspection,Preventive,Low,Day,ENG-01,8,True,False,99,44,2.38,0.73,12.57,28.11,40.68,240,True,False,4.0
WO-00981,2025-01-16 11:47:00,2025-01-16 15:34:00,Lobby,Electrical,Preventive inspection,Preventive,Low,Day,ENG-03,5,True,False,197,30,3.78,0.5,32.18,19.25,51.43,240,True,False,3.7
WO-00765,2025-01-16 22:54:00,2025-01-17 00:42:00,Lobby,Electrical,Preventive inspection,Corrective,High,Evening,ENG-06,6,True,False,27,81,1.8,1.35,73.06,51.98,125.04,30,True,True,4.3
WO-01043,2025-01-17 01:25:00,2025-01-17 03:48:00,Lobby,Plumbing,No hot water,Corrective,Medium,Overnight,ENG-08,5,False,False,72,71,2.38,1.18,128.15,45.43,173.58,120,True,False,
WO-01055,2025-01-17 07:10:00,2025-01-17 08:01:00,Guest Room,Plumbing,Preventive inspection,Corrective,Emergency,Day,ENG-04,4,False,False,10,41,0.85,0.68,104.97,26.18,131.15,15,True,False,
WO-00600,2025-01-17 09:05:00,2025-01-17 10:35:00,Lobby,General Maintenance,Preventive inspection,Preventive,Medium,Day,ENG-01,12,False,False,50,40,1.5,0.67,9.09,25.8,34.89,120,True,False,
WO-00949,2025-01-17 15:27:00,2025-01-17 18:26:00,Guest Room,HVAC,Filter replacement,Corrective,Medium,Evening,ENG-07,11,True,False,77,102,2.98,1.7,36.81,65.45,102.26,120,True,False,4.5
WO-00806,2025-01-17 17:34:00,2025-01-17 19:36:00,Lobby,Plumbing,Preventive inspection,Corrective,High,Evening,ENG-07,4,False,False,27,95,2.03,1.58,159.76,60.83,220.59,30,True,False,
WO-00044,2025-01-17 17:38:00,2025-01-17 19:02:00,Exterior,General Maintenance,Wall or ceiling damage,Corrective,Emergency,Evening,ENG-06,12,False,False,9,75,1.4,1.25,61.34,48.12,109.46,15,True,False,
WO-00540,2025-01-17 18:21:00,2025-01-17 21:50:00,Mechanical Room,HVAC,Room not cooling,Corrective,High,Evening,ENG-07,3,True,False,28,181,3.48,3.02,164.53,116.27,280.8,30,True,False,4.1
WO-00525,2025-01-18 11:23:00,2025-01-18 13:17:00,Lobby,Plumbing,Drain blockage,Corrective,Emergency,Day,ENG-01,9,False,False,10,104,1.9,1.73,59.16,66.61,125.77,15,True,False,
WO-00086,2025-01-19 04:30:00,2025-01-19 09:12:00,Kitchen,Refrigeration,Compressor fault,Corrective,Medium,Overnight,ENG-09,12,False,False,122,160,4.7,2.67,62.27,102.8,165.07,120,False,False,
WO-00408,2025-01-19 21:49:00,2025-01-20 00:45:00,Lobby,Plumbing,Preventive inspection,Preventive,Medium,Evening,ENG-05,2,True,False,110,66,2.93,1.1,5.11,42.35,47.46,120,True,False,4.6
WO-00535,2025-01-20 01:28:00,2025-01-20 03:39:00,Guest Room,HVAC,Thermostat fault,Corrective,High,Overnight,ENG-09,11,True,True,48,83,2.18,1.38,52.29,53.13,105.42,30,False,False,3.6
WO-00152,2025-01-20 16:41:00,2025-01-20 19:26:00,Guest Room,Plumbing,Fixture leak,Corrective,Medium,Evening,ENG-07,8,True,False,44,121,2.75,2.02,105.45,77.77,183.22,120,True,False,4.0
WO-00182,2025-01-21 07:15:00,2025-01-21 10:28:00,Mechanical Room,Plumbing,Preventive inspection,Preventive,Low,Day,ENG-03,2,False,False,107,86,3.22,1.43,99.39,55.05,154.44,240,True,False,
WO-00847,2025-01-21 13:50:00,2025-01-21 15:15:00,Meeting Space,General Maintenance,Wall or ceiling damage,Corrective,Emergency,Day,ENG-03,7,False,False,10,75,1.42,1.25,66.34,48.12,114.46,15,True,False,
WO-00993,2025-01-22 10:56:00,2025-01-22 12:54:00,Kitchen,Plumbing,Drain blockage,Corrective,High,Day,ENG-02,2,False,False,20,98,1.97,1.63,107.67,62.75,170.42,30,True,False,
WO-00630,2025-01-23 19:07:00,2025-01-23 21:57:00,Guest Room,HVAC,Condensate leak,Corrective,Emergency,Evening,ENG-06,14,True,True,11,159,2.83,2.65,215.92,102.02,317.94,15,True,False,4.0
WO-00756,2025-01-23 19:13:00,2025-01-23 21:06:00,Guest Room,General Maintenance,Signage repair,Corrective,Medium,Evening,ENG-05,9,True,False,63,50,1.88,0.83,28.93,31.95,60.88,120,True,False,5.0
WO-00486,2025-01-24 04:32:00,2025-01-24 07:19:00,Kitchen,Electrical,Outlet failure,Corrective,Medium,Overnight,ENG-08,3,True,False,66,101,2.78,1.68,126.34,64.68,191.02,120,True,False,4.1
WO-00938,2025-01-25 08:57:00,2025-01-25 12:57:00,Kitchen,HVAC,Fan motor failure,Preventive,Low,Day,ENG-04,17,False,False,175,65,4.0,1.08,39.15,41.58,80.73,240,True,False,
WO-00908,2025-01-25 09:14:00,2025-01-25 12:10:00,Guest Room,Electrical,Breaker trip,Corrective,Low,Day,ENG-03,9,True,False,127,49,2.93,0.82,48.28,31.57,79.85,240,True,True,4.7
WO-00277,2025-01-25 09:31:00,2025-01-25 10:53:00,Guest Room,General Maintenance,Preventive inspection,Corrective,Medium,Day,ENG-02,13,False,False,50,32,1.37,0.53,55.9,20.41,76.31,120,True,False,
WO-00005,2025-01-25 17:52:00,2025-01-25 20:15:00,Lobby,HVAC,Fan motor failure,Preventive,Medium,Evening,ENG-06,11,False,False,64,79,2.38,1.32,97.0,50.82,147.82,120,True,False,
WO-00325,2025-01-25 18:50:00,2025-01-25 21:07:00,Kitchen,Refrigeration,Door seal failure,Corrective,High,Evening,ENG-06,13,False,False,27,110,2.28,1.83,171.37,70.45,241.82,30,True,False,
WO-00126,2025-01-26 00:42:00,2025-01-26 02:50:00,Mechanical Room,Life Safety,Exit sign failure,Corrective,Emergency,Overnight,ENG-09,9,False,False,16,112,2.13,1.87,171.92,72.0,243.92,15,False,False,
WO-00368,2025-01-26 08:03:00,2025-01-26 11:11:00,Meeting Space,Life Safety,Sprinkler inspection,Corrective,Medium,Day,ENG-02,2,False,False,61,127,3.13,2.12,184.41,81.62,266.03,120,True,False,
WO-00851,2025-01-26 10:33:00,2025-01-26 14:54:00,Lobby,HVAC,Room not cooling,Preventive,Low,Day,ENG-02,10,False,False,174,87,4.35,1.45,14.64,55.82,70.46,240,True,False,
WO-00980,2025-01-26 13:17:00,2025-01-26 16:44:00,Kitchen,Plumbing,No hot water,Corrective,Low,Day,ENG-01,5,False,False,150,57,3.45,0.95,14.54,36.57,51.11,240,True,False,
WO-00595,2025-01-26 14:35:00,2025-01-26 16:06:00,Guest Room,Plumbing,No hot water,Corrective,High,Day,ENG-02,5,True,False,8,83,1.52,1.38,62.78,53.13,115.91,30,True,False,5.0
WO-00699,2025-01-26 15:40:00,2025-01-26 19:08:00,Guest Room,HVAC,Condensate leak,Preventive,Low,Evening,ENG-06,4,True,False,122,86,3.47,1.43,57.02,55.05,112.07,240,True,False,4.6
WO-01041,2025-01-26 16:22:00,2025-01-26 20:46:00,Lobby,HVAC,Filter replacement,Preventive,Medium,Evening,ENG-06,6,False,False,161,103,4.4,1.72,82.09,66.22,148.31,120,False,False,
WO-00710,2025-01-26 18:00:00,2025-01-26 21:15:00,Lobby,Plumbing,Drain blockage,Corrective,Medium,Evening,ENG-06,9,False,False,109,86,3.25,1.43,140.89,55.05,195.94,120,True,False,
WO-00290,2025-01-27 08:07:00,2025-01-27 10:16:00,Guest Room,HVAC,Thermostat fault,Corrective,Emergency,Day,ENG-04,10,True,True,7,122,2.15,2.03,43.34,78.15,121.49,15,True,False,4.0
WO-00197,2025-01-27 09:51:00,2025-01-27 12:02:00,Guest Room,General Maintenance,Signage repair,Corrective,Medium,Day,ENG-04,16,False,False,71,60,2.18,1.0,18.61,38.5,57.11,120,True,False,
WO-00515,2025-01-27 13:54:00,2025-01-27 16:12:00,Lobby,Plumbing,Drain blockage,Corrective,Emergency,Day,ENG-02,9,False,False,16,122,2.3,2.03,10.37,78.15,88.52,15,False,False,
WO-01102,2025-01-27 17:06:00,2025-01-27 20:56:00,Kitchen,Refrigeration,Coil cleaning,Corrective,Low,Evening,ENG-07,7,False,False,158,72,3.83,1.2,328.68,46.2,374.88,240,True,True,
WO-01146,2025-01-28 15:33:00,2025-01-28 17:41:00,Guest Room,HVAC,Thermostat fault,Preventive,Medium,Evening,ENG-07,4,True,False,60,68,2.13,1.13,20.6,43.5,64.1,120,True,False,4.0
WO-00506,2025-01-29 00:53:00,2025-01-29 04:28:00,Guest Room,Electrical,Preventive inspection,Preventive,Medium,Overnight,ENG-08,13,True,False,151,64,3.58,1.07,22.55,41.2,63.75,120,False,False,3.0
WO-01181,2025-01-30 06:15:00,2025-01-30 07:51:00,Guest Room,General Maintenance,Signage repair,Corrective,High,Overnight,ENG-09,16,False,False,30,66,1.6,1.1,94.27,42.35,136.62,30,True,True,
WO-00728,2025-01-31 00:49:00,2025-01-31 05:11:00,Guest Room,HVAC,Condensate leak,Preventive,Low,Overnight,ENG-08,11,True,False,203,59,4.37,0.98,98.21,37.73,135.94,240,True,False,3.9
WO-00344,2025-01-31 12:22:00,2025-01-31 15:18:00,Guest Room,Life Safety,Panel communication fault,Corrective,High,Day,ENG-02,12,True,True,21,155,2.93,2.58,427.81,99.33,527.14,30,True,True,4.5
WO-00371,2025-01-31 18:06:00,2025-01-31 21:25:00,Lobby,Electrical,Breaker trip,Corrective,Medium,Evening,ENG-07,11,False,False,116,83,3.32,1.38,103.06,53.13,156.19,120,True,False,
WO-00127,2025-02-01 01:24:00,2025-02-01 02:34:00,Guest Room,HVAC,Filter replacement,Corrective,High,Overnight,ENG-08,11,True,False,15,55,1.17,0.92,26.94,35.42,62.36,30,True,False,4.1
WO-00500,2025-02-01 20:42:00,2025-02-02 00:26:00,Exterior,Electrical,Breaker trip,Corrective,Low,Evening,ENG-07,6,False,False,155,69,3.73,1.15,77.88,44.27,122.15,240,True,False,
WO-00539,2025-02-02 15:11:00,2025-02-02 19:08:00,Kitchen,Refrigeration,Compressor fault,Corrective,Medium,Evening,ENG-06,10,False,False,92,145,3.95,2.42,108.47,93.17,201.64,120,True,False,
WO-01130,2025-02-02 22:50:00,2025-02-03 00:37:00,Meeting Space,General Maintenance,Door hardware,Corrective,Medium,Evening,ENG-06,16,False,False,54,53,1.78,0.88,33.33,33.88,67.21,120,True,True,
WO-00986,2025-02-03 08:59:00,2025-02-03 12:45:00,Mechanical Room,Plumbing,Preventive inspection,Preventive,Low,Day,ENG-01,12,False,False,164,62,3.77,1.03,30.01,39.66,69.67,240,True,False,
WO-00198,2025-02-03 17:04:00,2025-02-03 20:20:00,Guest Room,Plumbing,Preventive inspection,Preventive,Low,Evening,ENG-06,3,True,False,144,52,3.27,0.87,12.0,33.49,45.49,240,True,False,3.7
WO-00909,2025-02-04 09:48:00,2025-02-04 10:40:00,Lobby,General Maintenance,Signage repair,Corrective,High,Day,ENG-02,7,False,False,18,34,0.87,0.57,5.45,21.94,27.39,30,True,False,
WO-00967,2025-02-04 18:00:00,2025-02-04 19:22:00,Guest Room,Plumbing,Preventive inspection,Corrective,Medium,Evening,ENG-05,7,True,False,33,49,1.37,0.82,59.33,31.57,90.9,120,True,False,4.7
WO-00002,2025-02-04 21:04:00,2025-02-05 00:00:00,Guest Room,Electrical,Breaker trip,Corrective,Medium,Evening,ENG-07,9,True,False,70,106,2.93,1.77,75.39,68.14,143.53,120,True,False,4.5
WO-00398,2025-02-05 15:28:00,2025-02-05 18:16:00,Guest Room,Plumbing,Preventive inspection,Preventive,Low,Evening,ENG-06,5,True,False,94,74,2.8,1.23,53.33,47.35,100.68,240,True,False,4.4
WO-00503,2025-02-05 16:29:00,2025-02-05 19:35:00,Guest Room,HVAC,Condensate leak,Corrective,Medium,Evening,ENG-05,7,True,False,68,118,3.1,1.97,118.05,75.84,193.89,120,True,False,4.1
WO-00409,2025-02-05 22:10:00,2025-02-06 00:22:00,Mechanical Room,HVAC,Room not cooling,Corrective,Medium,Evening,ENG-07,6,False,False,58,74,2.2,1.23,23.27,47.35,70.62,120,True,False,
WO-00758,2025-02-06 00:01:00,2025-02-06 01:29:00,Kitchen,General Maintenance,Preventive inspection,Preventive,Medium,Overnight,ENG-09,8,True,False,56,32,1.47,0.53,9.58,20.41,29.99,120,True,False,4.4
WO-01187,2025-02-06 11:41:00,2025-02-06 13:49:00,Laundry,Plumbing,Preventive inspection,Preventive,Low,Day,ENG-03,9,True,False,82,46,2.13,0.77,16.96,29.64,46.6,240,True,True,4.1
WO-00658,2025-02-06 17:39:00,2025-02-06 21:28:00,Meeting Space,General Maintenance,Preventive inspection,Corrective,Medium,Evening,ENG-05,4,False,False,148,81,3.82,1.35,20.33,51.98,72.31,120,False,True,
WO-00122,2025-02-06 20:04:00,2025-02-06 22:50:00,Guest Room,Plumbing,Drain blockage,Corrective,Medium,Evening,ENG-05,7,True,False,69,97,2.77,1.62,75.18,62.37,137.55,120,True,False,4.3
